"V1","V2","V3","V4","V5","V6","V7"
"hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"0","0","0","2.82842712474619","0","-2","-1.41421356237309"
"0","0","2.82842712474619","0","0","2","-1.41421356237309"
"0","2.82842712474619","0","0","-2","0","1.41421356237309"
"2.82842712474619","0","0","2.82842712474619","2","-2","0"
"0","0","2.82842712474619","3.46410161513775","0","-0.449489742783178","-3.14626436994197"
"0","2.82842712474619","3.46410161513775","6.6332495807108","-2","-2.24092601704025","-3.63446203555118"
"2.82842712474619","3.46410161513775","6.6332495807108","4.47213595499958","-0.449489742783178","1.52813809965505","-2.40642839791322"
"3.46410161513775","6.6332495807108","4.47213595499958","3.46410161513775","-2.24092601704025","0.712787917385201","1.08055681285561"
"6.6332495807108","4.47213595499958","3.46410161513775","2.82842712474619","1.52813809965505","0.449489742783178","2.40642839791322"
"4.47213595499958","3.46410161513775","2.82842712474619","4","0.712787917385201","-0.82842712474619","0.553905222695572"
"3.46410161513775","2.82842712474619","4","2.82842712474619","0.449489742783178","0.82842712474619","-0.267949192431123"
"2.82842712474619","4","2.82842712474619","0","-0.82842712474619","2","2"
"4","2.82842712474619","0","2","0.82842712474619","-1.41421356237309","2.41421356237309"
"2.82842712474619","0","2","2.82842712474619","2","-0.585786437626905","-1"
"0","2","2.82842712474619","0","-1.41421356237309","2","-0.414213562373095"
"2","2.82842712474619","0","2","-0.585786437626905","-1.41421356237309","1.41421356237309"
"2.82842712474619","0","2","3.46410161513775","2","-1.03527618041008","-1.31783724519578"
"0","2","3.46410161513775","0","-1.41421356237309","2.44948974278318","-0.732050807568877"
"2","3.46410161513775","0","2","-1.03527618041008","-1.41421356237309","1.73205080756888"
"3.46410161513775","0","2","4.89897948556636","2.44948974278318","-2.04988805276466","-1.7174389352143"
"0","2","4.89897948556636","2.82842712474619","-1.41421356237309","1.46410161513775","-2.86370330515627"
"2","4.89897948556636","2.82842712474619","0","-2.04988805276466","2","2.03527618041008"
"4.89897948556636","2.82842712474619","0","4.47213595499958","1.46410161513775","-3.16227766016838","1.62763532765648"
"2.82842712474619","0","4.47213595499958","6.32455532033676","2","-1.3098582948312","-3.98413207529507"
"0","4.47213595499958","6.32455532033676","3.46410161513775","-3.16227766016838","2.0226462122164","-2.65826049023747"
"4.47213595499958","6.32455532033676","3.46410161513775","3.46410161513775","-1.3098582948312","0","1.93424402253041"
"6.32455532033676","3.46410161513775","3.46410161513775","2.82842712474619","2.0226462122164","0.449489742783178","1.74806409779528"
"3.46410161513775","3.46410161513775","2.82842712474619","2","0","0.585786437626905","1.04988805276466"
"3.46410161513775","2.82842712474619","2","0","0.449489742783178","1.41421356237309","2.14626436994197"
"2.82842712474619","2","0","3.46410161513775","0.585786437626905","-2.44948974278318","0.682162754804217"
"2","0","3.46410161513775","0","1.41421356237309","2.44948974278318","-0.732050807568877"
"0","3.46410161513775","0","2.82842712474619","-2.44948974278318","-2","0.317837245195782"
"3.46410161513775","0","2.82842712474619","0","2.44948974278318","2","0.317837245195782"
"0","2.82842712474619","0","2","-2","-1.41421356237309","0.414213562373095"
"2.82842712474619","0","2","0","2","1.41421356237309","0.414213562373095"
