"V1","V2","V3","V4","V5","V6","V7"
"hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"0","1","0","2","-0.707106781186547","-1.41421356237309","-0.5"
"Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds","Denoise_Ds"
"6","1","1","0","0","0","0"
"1","1","0","1","0","0","0"
"1","0","1","3","0","0","0"
"0","1","3","0","0","0","0"
"1","3","0","5","0","0","0"
"3","0","5","6","0","0","0"
"0","5","6","1","0","0","0"
"5","6","1","0","0","0","0"
"6","1","0","3","0","0","0"
"1","0","3","9","0","0","0"
"0","3","9","3","0","0","0"
"3","9","3","2","0","0","0"
"9","3","2","3","0","0","0"
"3","2","3","0","0","0","0"
"2","3","0","2","0","0","0"
"3","0","2","4","0","0","0"
"0","2","4","0","0","0","0"
"2","4","0","0","0","0","0"
"4","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","0","0","0","0"
"0","0","0","2","0","0","0"
"0","0","2","0","0","0","0"
"0","2","0","0","0","0","0"
"2","0","0","2","0","0","0"
"0","0","2","3","0","0","0"
"0","2","3","11","0","0","0"
"2","3","11","5","0","0","0"
"3","11","5","3","0","0","0"
"11","5","3","2","0","0","0"
"5","3","2","4","0","0","0"
"3","2","4","2","0","0","0"
"2","4","2","0","0","0","0"
"4","2","0","1","0","0","0"
"2","0","1","2","0","0","0"
"0","1","2","0","0","0","0"
"1","2","0","1","0","0","0"
"2","0","1","3","0","0","0"
"0","1","3","0","0","0","0"
"1","3","0","1","0","0","0"
"3","0","1","6","0","0","0"
"0","1","6","2","0","0","0"
"1","6","2","0","0","0","0"
"6","2","0","5","0","0","0"
"2","0","5","10","0","0","0"
"0","5","10","3","0","0","0"
"5","10","3","3","0","0","0"
"10","3","3","2","0","0","0"
"3","3","2","1","0","0","0"
"3","2","1","0","0","0","0"
"2","1","0","3","0","0","0"
"1","0","3","0","0","0","0"
"0","3","0","2","0","0","0"
"3","0","2","0","0","0","0"
"0","2","0","1","0","0","0"
"2","0","1","0","0","0","0"
"0","1","0","1","0","0","0"
"1","0","1","0","0","0","0"
"0","1","0","2","0","0","0"
"soft","soft","soft","soft","soft","soft","soft"
