"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"3.73205080756888","1","3.14626436994197","4.23606797749979","1","1","1","1","3.34606521495123","5.22009726384887","1.41421356237309","1.41421356237309","6.05719157750532","2","5.69729480177315"
"1","3.14626436994197","4.23606797749979","1","1","1","1","1","2.93185165257814","3.70245917364383","1.41421356237309","1.41421356237309","4.69116617372088","2","4.73136897548408"
"3.14626436994197","4.23606797749979","1","1","1","1","1","3.14626436994197","5.22009726384887","1.41421356237309","1.41421356237309","2.93185165257814","4.69116617372088","3.07313218497099","5.4901880205866"
"4.23606797749979","1","1","1","1","1","3.14626436994197","1","3.70245917364383","1.41421356237309","1.41421356237309","2.93185165257814","3.61803398874989","3.07313218497099","4.73136897548408"
"1","1","1","1","1","3.14626436994197","1","1","1.41421356237309","1.41421356237309","2.93185165257814","1.41421356237309","2","3.07313218497099","3.58724616984871"
"1","1","1","1","3.14626436994197","1","1","3.14626436994197","1.41421356237309","1.41421356237309","2.93185165257814","2.93185165257814","2","4.14626436994197","4.34606521495123"
"1","1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","1.41421356237309","2.93185165257814","1.41421356237309","4.86370330515627","3.07313218497099","4.43915758875542","5.3119910412403"
"1","1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","1.41421356237309","2.93185165257814","2.93185165257814","7.43365605645958","3.07313218497099","7.329520791502","7.35578646199447"
"1","3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","2.93185165257814","1.41421356237309","4.86370330515627","8.10788726034796","3.07313218497099","9.17229965164348","8.65882789022773"
"3.14626436994197","1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","2.93185165257814","2.93185165257814","7.43365605645958","5.95214807141775","4.14626436994197","9.46519287045694","9.6247537165168"
"1","1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","1.41421356237309","4.86370330515627","8.10788726034796","4.86370330515627","4.43915758875542","9.17229965164348","9.6247537165168"
"1","3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","2.93185165257814","7.43365605645958","5.95214807141775","5.22009726384887","7.329520791502","7.8999704376468","10.7688765221522"
"3.14626436994197","3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","4.86370330515627","8.10788726034796","4.86370330515627","5.22009726384887","9.17229965164348","7.1303237624763","11.5276955672547"
"3.73205080756888","6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","7.43365605645958","5.95214807141775","5.22009726384887","2.93185165257814","9.46519287045694","5.76429835869187","10.7688765221522"
"6.78072640549315","4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","8.10788726034796","4.86370330515627","5.22009726384887","2.41421356237309","9.17229965164348","5.39827295490743","10.3029506958631"
"4.68555772028297","3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","3.14626436994197","5.95214807141775","5.22009726384887","2.93185165257814","3.93185165257814","7.8999704376468","4.85337115112852","9.01797432021145"
"3.73205080756888","3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","3.14626436994197","1","4.86370330515627","5.22009726384887","2.41421356237309","2.93185165257814","7.1303237624763","3.78023896615753","7.71493289197819"
"3.14626436994197","4.23606797749979","3.14626436994197","1","2.41421356237309","3.14626436994197","1","2.41421356237309","5.22009726384887","2.93185165257814","3.93185165257814","2.41421356237309","5.76429835869187","4.48734574734408","7.24900706568912"
"4.23606797749979","3.14626436994197","1","2.41421356237309","3.14626436994197","1","2.41421356237309","3.73205080756888","5.22009726384887","2.41421356237309","2.93185165257814","4.34606521495123","5.39827295490743","5.14626436994197","7.45611384687567"
"3.14626436994197","1","2.41421356237309","3.14626436994197","1","2.41421356237309","3.73205080756888","1","2.93185165257814","3.93185165257814","2.41421356237309","3.34606521495123","4.85337115112852","4.07313218497098","6.3119910412403"
"1","2.41421356237309","3.14626436994197","1","2.41421356237309","3.73205080756888","1","2.41421356237309","2.41421356237309","2.93185165257814","4.34606521495123","2.41421356237309","3.78023896615753","4.78023896615753","6.05317199613778"
"2.41421356237309","3.14626436994197","1","2.41421356237309","3.73205080756888","1","2.41421356237309","5.09524105384777","3.93185165257814","2.41421356237309","3.34606521495123","5.3099862821424","4.48734574734408","6.12075271189487","7.50105835602243"
"3.14626436994197","1","2.41421356237309","3.73205080756888","1","2.41421356237309","5.09524105384777","3.14626436994197","2.93185165257814","4.34606521495123","2.41421356237309","5.82762437234744","5.14626436994197","5.82785949308142","7.75987740112495"
"1","2.41421356237309","3.73205080756888","1","2.41421356237309","5.09524105384777","3.14626436994197","1","2.41421356237309","3.34606521495123","5.3099862821424","2.93185165257814","4.07313218497098","5.82785949308142","7.00105835602243"
"2.41421356237309","3.73205080756888","1","2.41421356237309","5.09524105384777","3.14626436994197","1","4.68555772028297","4.34606521495123","2.41421356237309","5.82762437234744","4.02029641883961","4.78023896615753","6.96353157203635","8.30409978425569"
"3.73205080756888","1","2.41421356237309","5.09524105384777","3.14626436994197","1","4.68555772028297","6.47890245052378","3.34606521495123","5.3099862821424","2.93185165257814","7.89446549506457","6.12075271189487","7.65536227037436","9.74118432236817"
"1","2.41421356237309","5.09524105384777","3.14626436994197","1","4.68555772028297","6.47890245052378","3.73205080756888","2.41421356237309","5.82762437234744","4.02029641883961","7.22023429117619","5.82785949308142","7.94825548918781","9.74118432236816"
"2.41421356237309","5.09524105384777","3.14626436994197","1","4.68555772028297","6.47890245052378","3.73205080756888","3.73205080756888","5.3099862821424","2.93185165257814","7.89446549506457","5.27791686752937","5.82785949308142","9.31428089297225","10.7071101486572"
"5.09524105384777","3.14626436994197","1","4.68555772028297","6.47890245052378","3.73205080756888","3.73205080756888","3.14626436994197","5.82762437234744","4.02029641883961","7.22023429117619","4.86370330515627","6.96353157203635","8.54463421780175","10.9659291937598"
"3.14626436994197","1","4.68555772028297","6.47890245052378","3.73205080756888","3.73205080756888","3.14626436994197","2.41421356237309","2.93185165257814","7.89446549506457","5.27791686752937","3.93185165257814","7.65536227037436","6.51228977372641","10.0180428338751"
"1","4.68555772028297","6.47890245052378","3.73205080756888","3.73205080756888","3.14626436994197","2.41421356237309","1","4.02029641883961","7.22023429117619","4.86370330515627","2.41421356237309","7.94825548918781","5.14626436994197","9.25922378877258"
"4.68555772028297","6.47890245052378","3.73205080756888","3.73205080756888","3.14626436994197","2.41421356237309","1","3.73205080756888","7.89446549506457","5.27791686752937","3.93185165257814","3.34606521495123","9.31428089297225","5.14626436994197","10.2251496150617"
"6.47890245052378","3.73205080756888","3.73205080756888","3.14626436994197","2.41421356237309","1","3.73205080756888","1","7.22023429117619","4.86370330515627","2.41421356237309","3.34606521495123","8.54463421780175","4.07313218497098","8.92210818682839"
"3.73205080756888","3.73205080756888","3.14626436994197","2.41421356237309","1","3.73205080756888","1","3.14626436994197","5.27791686752937","3.93185165257814","3.34606521495123","2.93185165257814","6.51228977372641","4.43915758875542","7.74384269381843"
